"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Total Cost IC",
"No NIH Category available","Acceleration;Acetylcysteine;Adult;Adverse effects;Affect;Antioxidants;Anxiety;Arginine;Ascorbic Acid;Astrocytes;Ataxia;Behavioral;Brain;Cancer Patient;Cancer Survivor;Cell Respiration;Cells;Central Nervous System;Central Nervous System Lymphoma;Cerebrospinal Fluid;Cessation of life;Chemicals;Chemotherapy-Oncologic Procedure;Child;Childhood;Childhood Leukemia;Clinical;Cognitive;Confusion;Disease;Distress;Encephalitis;Environment;Equilibrium;Face;Feeds;Folic Acid Antagonists;Gene Expression;Genetic;Goals;Health;Health Promotion;Health Status;Heart;Hippocampus;Human;Impaired cognition;Injections;Intervention;Investigation;Learning;Life;Lipid Peroxidation;Lymphoma;Malignant neoplasm of brain;Measures;Mediating;Memory;Memory impairment;Metabolic;Methotrexate;Microglia;Modernization;Molecular;Monitor;Mus;Myelin;Names;Neoplasm Metastasis;Nervous System Trauma;Neurocognitive;Neurocognitive Deficit;Neurons;Nitric Oxide;Oligodendroglia;Organ;Oxidation-Reduction;Patients;Performance;Peripheral;Peroxonitrite;Pharmaceutical Preparations;Poly(ADP-ribose) Polymerases;Preventive care;Preventive treatment;Role;Sampling;Schools;Structure of choroid plexus;Supplementation;Symptoms;System;Testing;Therapeutic;Toxic effect;Viral Vector;adeno-associated viral vector;antioxidant enzyme;antioxidant therapy;brain cell;brain tissue;cancer cell;cancer therapy;chemobrain;chemotherapy;detection method;dosage;experience;experimental study;feasibility testing;gain of function;gene therapy;genetic approach;improved;leukemia;loss of function;macromolecule;metabolic abnormality assessment;neurotoxic;neurotoxicity;overexpression;oxidative damage;pediatric patients;pharmacologic;postsynaptic;preservation;presynaptic;prevent;side effect;standard of care;stem;survivorship;therapeutic target;therapeutically effective;tool;tumor;uptake;vector control","Mechanistic Study of Methotrexate-Induced Oxidative Distress in Neurons and the CSF","PROJECT NARRATIVEChemotherapy is a cornerstone of modern cancer therapy yet it also damages healthy cells in the brain. Herewe combine cutting edge metabolite profiling chemical detection methods and genetic approaches to study themolecular mechanisms by which the chemotherapy methotrexate leads to oxidative distress in the choroidplexus cerebrospinal fluid and hippocampus. These experiments represent a critical new direction ofinvestigation into how a current limitation of cancer chemotherapy can be reduced or prevented in the brain byleveraging CSF-based solutions.","11570637","KANAREK, NAAMA ","Not Applicable","07","Unavailable","076593722","Z1L9F1MM1RY3","076593722","Z1L9F1MM1RY3","US","42.337481","-71.104964","1504801","BOSTON CHILDREN'S HOSPITAL","BOSTON","MA","Independent Hospitals","021155724","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","395","Non-SBIR/STTR","2024","700288"," ","NCI","393420","306868"," ","NCI","10882076","5/15/2024 12:00:00 AM","PA-20-185","1R01CA282477-01A1","1","R01","CA","282477","01","A1","SCHWEPPE, CATHERINE ANN","6/1/2024 12:00:00 AM","5/31/2029 12:00:00 AM","Neural Oxidative Metabolism and Death Study Section[NOMD]"," ","700288",
"No NIH Category available"," ","A Biobehavioral Intervention to Reduce Adverse Outcomes in Young Adult Testicular Cancer Survivors","Project NarrativeThe majority of young adult cancer survivors experience impairing distressing and modifiable physicalbehavioral and psychosocial adverse outcomes that persist long after the completion of primary medicaltreatment including psychological distress and poor psychosocial adjustment impairment in the navigation andpursuit of life goals persistent treatment side effects elevated risk of secondary malignancies and chronicillness and biobehavioral burden (e.g. enhanced inflammation dysregulated diurnal stress hormones). Yetfew targeted effective interventions exist to assist young survivors in re-negotiating life goals and regulatingcancer-related emotions and none focus on reducing the burden of morbidity via biobehavioral mechanisms.Responsive to the need for feasible effective and scalable interventions this study will utilize a randomizedcontrolled repeated measures design to investigate the efficacy of a novel intervention (Goal-FocusedEmotion Regulation Therapy or GET) vs. Individual Supportive Listening (ISL) to improving depressivesymptoms (primary outcomes) as well as emotion regulation goal attainment skills and career confusion(secondary outcomes) in young adult testicular cancer patients whether GET is associated with reductions inbiological markers of stress and inflammation and evaluate whether gains in emotion regulation and goalattainment skills reflect mechanisms of underlying change at baseline post-treatment 3-month follow-up and6-months follow-up.","10221191","HOYT, MICHAEL A","Not Applicable","47","PUBLIC HEALTH & PREV MEDICINE","046705849","MJC5FCYQTPE6","046705849","MJC5FCYQTPE6","US","33.64852","-117.82136","577504","UNIVERSITY OF CALIFORNIA-IRVINE","IRVINE","CA","SCHOOLS OF PUBLIC HEALTH","926970001","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","625394"," ","NCI","455655","169739"," ","NCI","10881967","7/1/2024 12:00:00 AM","PAR-21-035","5R01CA276143-02","5","R01","CA","276143","02"," ","MOLLICA, MICHELLE A","7/8/2023 12:00:00 AM","6/30/2028 12:00:00 AM","Biobehavioral Medicine and Health Outcomes Study Section[BMHO]"," ","625394",
"No NIH Category available","Address;Adoption;Behavior;Behavioral;Cancer Science;Cancer Survivor;Cancer Survivorship;Caring;Clinical;Collaborations;Community Healthcare;Consent;Cost Analysis;Cost Effectiveness Analysis;Cutaneous Melanoma;Data;Detection;Diagnosis;Disease;Disease Progression;Dissemination and Implementation;Early Diagnosis;Early treatment;Education;Effectiveness;Eligibility Determination;Ensure;Future;General Population;Goals;Guidelines;Healthcare;Immunotherapy;Incidence;Intervention;Interview;Lesion by Stage;Maintenance;Malignant Neoplasms;Melanoma;Methods;Modeling;New Jersey;Newly Diagnosed;Participant;Performance;Persons;Physicians;Population;Prevention;Process;Professional Organizations;Provider;Randomized;Randomized Controlled Trials;Recommendation;Recurrence;Recurrent disease;Research;Resources;Risk;Risk Factors;Risk Reduction;Self-Examination;Skin;Skin Cancer;Survivors;Target Populations;Techniques;Testing;Theory of Change;Thinness;Time;Treatment Cost;Underserved Population;United States;Work;behavior change;cancer diagnosis;cancer recurrence;care providers;clinical examination;contextual factors;cost;cost effective;cost effectiveness;design;digital intervention;effective therapy;effectiveness evaluation;effectiveness/implementation design;effectiveness/implementation trial;efficacy trial;experience;follow-up;future implementation;health care settings;high risk;implementation evaluation;implementation framework;implementation outcomes;implementation science;improved;informant;innovation;intervention delivery;models and simulation;neoplasm registry;online intervention;program costs;programs;recruit;scale up;social media;treatment as usual;trial design;usability;web page","A digital intervention to improve skin self-examination among melanoma survivors","PROJECT NARRATIVESurvivors of invasive cutaneous melanoma are at high risk for skin cancer recurrence and new primarycancers and regular thorough skin self-examination (SSE) is recommended to reduce these risks. Theproposed study seeks to enhance the promising initial effects of MySmartSkin a fully automated onlineintervention developed by our team on performance of thorough SSE and prepare MySmartSkin forwidespread dissemination and implementation among melanoma survivors. This work will advance the scienceof cancer survivorship by optimizing a promising surveillance and prevention-focused intervention for anunderserved group of cancer survivors and preparing for widespread dissemination and implementation.","1860005","MANNE, SHARON L","HECKMAN, CAROLYN ","10","INTERNAL MEDICINE/MEDICINE","090299830","YVVTQD8CJC79","090299830","YVVTQD8CJC79","US","40.520984","-74.473247","10034168","RUTGERS BIOMEDICAL AND HEALTH SCIENCES","Newark","NJ","SCHOOLS OF MEDICINE","071073001","UNITED STATES","N","4/1/2024 12:00:00 AM","3/31/2025 12:00:00 AM","394","Non-SBIR/STTR","2024","603475"," ","NCI","404037","199438"," ","NCI","10881700","3/8/2024 12:00:00 AM","PAR-21-035","5R01CA264548-03","5","R01","CA","264548","03"," ","PERNA, FRANK","4/1/2022 12:00:00 AM","3/31/2027 12:00:00 AM","Science of Implementation in Health and Healthcare Study Section[SIHH]"," ","603475",
"No NIH Category available","Achievement;Acute;Address;Adult;Affect;Aging;Alleles;Alzheimer&apos;s Disease;Animal Behavior;Animal Model;Apolipoprotein E;Astrocytes;Behavioral;Bioinformatics;Biological;Biophysics;Brain;Brain Injuries;Brain Neoplasms;Cancer Patient;Cancer Survivor;Caregivers;Cell Membrane Permeability;Cell membrane;Cells;Cessation of life;Child;Childhood Brain Neoplasm;Childhood Malignant Brain Tumor;Cholesterol;Clinical;Clinical Data;Cognitive;Cognitive Therapy;Cognitive deficits;Cytoplasm;Cytoplasmic Granules;DNA Damage;Data;Dendrites;Dendritic Spines;Diagnosis;Epigenetic Process;Event;Excitatory Synapse;Exhibits;Exposure to;Gene Expression;Genotype;Glutamate Receptor;Goals;Health;Hippocampus;Homeostasis;Hour;Human;Impaired cognition;Injury;Intervention;Knowledge;Lipids;Lipoprotein (a);Lipoproteins;Long-Term Survivors;Malignant Childhood Neoplasm;Malignant Neoplasms;Malignant neoplasm of brain;Measures;Mediating;Membrane Lipids;Mitochondria;Modernization;Molecular;Mood Disorders;Morphology;N-Methyl-D-Aspartate Receptors;N-Methylaspartate;Nature;Neurobehavioral Manifestations;Neurocognitive;Neuronal Differentiation;Neurons;Neurosciences;Operative Surgical Procedures;Outcome;Pathway interactions;Patients;Population;Process;Protocols documentation;Quality of life;Radiation;Radiation induced damage;Radiation therapy;Radiation-Induced Change;Reporting;Research;Risk;Risk Factors;Role;Rupture;Schedule;Signal Transduction;Site;Societies;Suicide attempt;Surface;Survival Rate;Survivors;Synapses;Synaptic plasticity;Targeted Radiotherapy;Techniques;Testing;Therapeutic;Therapeutic Effect;Time;Translating;cancer therapy;cell injury;chemotherapy;childhood cancer survivor;cholesterol biosynthesis;combat;dentate gyrus;excitatory neuron;genetic variant;improved;in vivo;insight;interdisciplinary approach;leukemia;leukemia treatment;lipid metabolism;lipidome;multidisciplinary;neglect;nerve stem cell;neurogenesis;non-genetic;novel;pharmacologic;postmitotic;postnatal;prevent;prophylactic;radioresistant;rational design;response;survivorship;theories;therapeutic target;therapy design","Molecular and cellular mechanisms of neuronal damage caused by anticancer therapies","Project narrative. As survival rates for pediatric brain cancers and leukemias have risen strikingly over the last several de-cades the US survivor population is steadily growing. Unfortunately the treatments that make this possiblecause brain damage and the nature of this damage is poorly understood hampering its treatment. Our proposaltests the hypothesis that a major locus of radiotherapy-mediated neuronal damage is the plasma membrane u-sing modern techniques and tests potential therapies for these sequelae to inform new clinical interventions forimproving survivorship in cancer survivors and others exposed to radiation.","2218147","DUMAN, JOSEPH G","Not Applicable","09","NEUROSCIENCES","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.70926","-95.400851","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","SCHOOLS OF MEDICINE","770303411","UNITED STATES","N","3/1/2024 12:00:00 AM","2/28/2025 12:00:00 AM","395","Non-SBIR/STTR","2024","638067"," ","NCI","493824","144243"," ","NCI","10881526","2/13/2024 12:00:00 AM","PA-20-185","1R01CA283569-01A1","1","R01","CA","283569","01","A1","PRASANNA, PAT G","3/1/2024 12:00:00 AM","2/28/2029 12:00:00 AM","Radiation Therapeutics and Biology Study Section[RTB]"," ","638067",
"No NIH Category available"," ","Integrated Epidemiologic Study of Ultra-processed Foods and Colorectal Cancer Survival","PROJECT NARRATIVE Ultra-processed foods (UPFs) are emerging as an important risk factor for colorectal cancer (CRC) and may negatively affect survival outcomes. The proposed research will study how UPFs and the molecular correlates can impact CRC survival leveraging large cohorts and integrating metabolomic profiling and whole-exome sequencing data. This timely innovative research will inform dietary recommendations for CRC patients contribute to the discovery of novel actionable targets with the potential use in precision nutrition and oncology care and provide new insights into the design of nutrition interventions to improve long-term CRC survivorship.","15030536","DU, MENGXI ","Not Applicable","07","NUTRITION","149617367","UNVDZNFA8R29","149617367","UNVDZNFA8R29","US","42.335306","-71.102775","3212904","HARVARD SCHOOL OF PUBLIC HEALTH","BOSTON","MA","SCHOOLS OF PUBLIC HEALTH","021156028","UNITED STATES","N","8/1/2024 12:00:00 AM","7/31/2025 12:00:00 AM","398","Other Research-Related","2024","103707"," ","NCI","96692","7015"," ","NCI","10880643","7/24/2024 12:00:00 AM","RFA-CA-21-059","5K00CA274714-03","5","K00","CA","274714","03"," ","DAMICO, MARK W","8/1/2022 12:00:00 AM","7/31/2027 12:00:00 AM","ZCA1-PCRB-H(M1)"," ","103707",
"No NIH Category available"," ","Cancer Population Science Program","n/a","6405748","HERSHMAN, DAWN ","Not Applicable","13","Unavailable","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.8415","-73.9414","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","Domestic Higher Education","100323725","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM"," ","Research Centers","2024"," ","98875"," ","61034","37841"," ","NCI","10880406","6/6/2024 12:00:00 AM","PAR-17-095","5P30CA013696-49","5","P30","CA","013696","49"," "," ","7/4/1997 12:00:00 AM","6/30/2025 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","5611"," ",
"No NIH Category available"," ","Implementation and Evaluation of a Screening Tool for Sexual Dysfunction for Pediatric Cancer Survivors","PROJECT NARRATIVELong term survivors of childhood cancer of which there are over 400000 in the United States have increasedchronic and mental health conditions and reduced health-related quality of life and socioeconomic attainmentthan their peers. One such long term effect sexual dysfunction is identified by adolescent and young adult-aged childhood cancer survivors (AYA-CCS) as a bothersome yet unmet need affecting their mental healthand quality of life. Completion of this study will lead to improved screening and diagnosis of sexual dysfunctionamong AYA-CCS which is the first step in improving quality of care for this underrecognized and undertreatedcondition.","10886599","DEMEDIS, JENNA ","Not Applicable","06","PEDIATRICS","041096314","MW8JHK6ZYEX8","041096314","MW8JHK6ZYEX8","US","39.745098","-104.837605","1199905","UNIVERSITY OF COLORADO DENVER","Aurora","CO","SCHOOLS OF MEDICINE","800452571","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","398","Other Research-Related","2024","216646"," ","NCI","200598","16048"," ","NCI","10880333","7/1/2024 12:00:00 AM","PA-20-202","5K08CA263192-03","5","K08","CA","263192","03"," ","RADAEV, SERGEY","7/21/2022 12:00:00 AM","6/30/2027 12:00:00 AM","Career Development Study Section (J)[NCI-J]"," ","216646",
"No NIH Category available","Accident and Emergency department;Address;Adherence;Adoption;Affect;Aftercare;Area;Attitude;Baseline Surveys;Cancer Patient;Cancer Survivor;Cancer Survivorship;Caring;Chronic;Chronic Disease;Clinic Visits;Clinics and Hospitals;Collaborations;Communication;Complex;Comprehensive Health Care;Continuity of Patient Care;Data;Diagnosis;Disease Management;Disease-Free Survival;Face;Feedback;Future;Goals;Guidelines;Health;Healthcare;Healthcare Systems;Hematologic Neoplasms;Individual;Interruption;Interview;Knowledge;Late Effects;Life Style Modification;Low income;Malignant Breast Neoplasm;Malignant Neoplasms;Malignant neoplasm of gastrointestinal tract;Medical;Methods;Modeling;Monitoring for Recurrence;Newly Diagnosed;Nurses;Oncologist;Oncology;Oncology Nurse;Outcome;Outcome Assessment;Pathway interactions;Patients;Preventive care;Primary Care;Process;Protocols documentation;Provider;Psychosocial Assessment and Care;Public Hospitals;Qualitative Evaluations;Quality of life;Randomized;Randomized Controlled Trials;Reach Effectiveness Adoption Implementation and Maintenance;Recurrence;Reporting;Research;Resource-limited setting;Risk;Second Primary Cancers;Self Management;Structure;Supportive care;Surveillance Modeling;System;Testing;Thinking;Time;Translations;Uninsured;Visit;active method;breast cancer diagnosis;cancer care;cancer diagnosis;cancer risk;cancer therapy;care coordination;care systems;chronic care model;clinical care;clinical infrastructure;clinical practice;collaborative care;comorbidity;ethnic minority;experience;follow-up;health care service utilization;implementation outcomes;improved;medical specialties;medically underserved;multiple chronic conditions;novel;patient subsets;prevent;primary care provider;primary outcome;provider communication;racial minority;risk stratification;safety net;scale up;secondary outcome;survivorship;trend;uptake","OPTIMISE: A Shared Care Approach for Improving Comprehensive Care of Cancer Patients with Comorbidities in A Safety-Net System","PROJECT NARRATIVEMedically underserved patients have the highest burden of multiple chronic conditions and are at increased riskfor poor outcomes during and after cancer treatment. As medically underserved complex cancer patients maylack healthcare knowledge and access to supportive care their health outcomes and care transitions might beimproved by enhancing communication and collaboration between their oncologists and primary care providers(PCPs). This study tests and evaluates a novel shared care model for complex cancer survivors calledOPTIMISE that shifts the timing of thinking about survivorship to point of diagnosis and seeks to develop a clinicalinfrastructure to support continuity of care from cancer diagnosis through post-treatment survivorship.","7852459","BADR, HODA J","MIMS, MARTHA P.","09","INTERNAL MEDICINE/MEDICINE","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.70926","-95.400851","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","SCHOOLS OF MEDICINE","770303411","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","752535"," ","NCI","474195","278340"," ","NCI","10880262","5/8/2024 12:00:00 AM","RFA-CA-20-004","5R01CA258040-04","5","R01","CA","258040","04"," ","WEAVER, SALLIE JAYNE","6/1/2021 12:00:00 AM","5/31/2027 12:00:00 AM","ZCA1-SRB-F(J1)"," ","752535",
"No NIH Category available","Acute Lymphocytic Leukemia;Adult;Age of Onset;Algorithms;Alleles;Architecture;BRCA2 gene;Biological;Cancer Etiology;Cause of Death;Characteristics;Child;Childhood Acute Lymphocytic Leukemia;Childhood Cancer Genome Project;Childhood Cancer Survivor Study;Childhood Hodgkin&apos;s Lymphoma;Childhood Non-Hodgkin&apos;s Lymphoma;Clinical;Cohort Studies;Data;Data Pooling;Data Set;Development;Disease;ETV6 gene;Evaluation;Ewings sarcoma;Face;Funding;GATA3 gene;Generations;Genes;Genetic;Genetic Enhancement;Genetic Predisposition to Disease;Genetic Risk;Genetic Variation;Genetic study;Genome;Genomics;Goals;Health;Heritability;Hodgkin Disease;Individual;Inherited;Intervention;Investigation;Knowledge;Lead;Link;Literature;Long-Term Survivors;Malignant Childhood Neoplasm;Malignant Neoplasms;Maps;Medulloblastoma;Methods;Morbidity - disease rate;Nephroblastoma;Neuroblastoma;Newly Diagnosed;Non-Hodgkin&apos;s Lymphoma;Osteosarcoma;Outcome;Pattern;Pediatric Neoplasm;Pediatric Oncology;Pediatric Research;Process;Relapse;Research;Resources;Risk;Saint Jude Children&apos;s Research Hospital;Sarcoma;Solid Neoplasm;Survival Rate;Survivors;Susceptibility Gene;Therapeutic;Time;United States National Institutes of Health;Variant;Work;adverse outcome;age stratification;ancestry analysis;cancer diagnosis;cancer genetics;cancer genome;cancer predisposition;cancer risk;cancer subtypes;cancer type;carcinogenicity;chemotherapy;childhood cancer survivor;cost effective;data harmonization;data resource;design;effective therapy;exome sequencing;experience;genome resource;genome wide association study;genome-wide;genomic data;genomic locus;improved;innovation;insight;knowledge base;mortality;novel;personalized medicine;pleiotropism;polygenic risk score;power analysis;precision medicine;programs;rare cancer;rare variant;risk prediction;risk variant;survivorship;tool;whole genome","Genetic pleiotropy across pediatric cancers and cancer-related outcomes","PROJECT NARRATIVEDespite advances in pediatric oncology treatment and research our understanding of the genetic etiology ofpediatric cancers remains incomplete. We propose to undertake a first-of-its-kind analysis of pediatric cancerpleiotropy identifying genetic variations that contribute to risks for multiple pediatric cancer types. We will alsoexamine the shared heritability of pediatric cancers with the first comprehensive study of global pleiotropypatterns for pediatric cancer risk and develop enhanced genetic risk score tools with pleiotropic risk variants tobetter predict who may develop pediatric cancer and inform personalized treatment surveillance andinterventions to reduce morbidity and mortality after pediatric cancer diagnosis.","14537003","WANG, ZHAOMING ","IM, CINDY ","09","Unavailable","067717892","JL4JHE9SDRR3","067717892","JL4JHE9SDRR3","US","35.155607","-90.045279","7893501","ST. JUDE CHILDREN'S RESEARCH HOSPITAL","MEMPHIS","TN","Independent Hospitals","381053678","UNITED STATES","N","5/16/2024 12:00:00 AM","4/30/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","716773"," ","NCI","490982","225791"," ","NCI","10880031","5/16/2024 12:00:00 AM","PA-20-185","1R01CA283333-01A1","1","R01","CA","283333","01","A1","DAEE, DANIELLE L","5/16/2024 12:00:00 AM","4/30/2029 12:00:00 AM","Cancer and Hematologic Disorders Study Section[CHD]"," ","716773",
"No NIH Category available"," ","Digital Self-Management and Peer Mentoring Intervention to Improve the Transition from Pediatric to Adult Health Care for Childhood Cancer Survivors","Project NarrativeChildhood cancer survivors are at risk for adverse late health effects from their treatment but many disengagefrom follow-up care during the transition from pediatric to adult-oriented health care. The proposed randomizedtrial will evaluate a novel digital self-management and peer mentoring intervention designed to improve self-management behaviors enhance health-related quality of life and increase adherence to guideline-concordantcare among adolescent and young adult survivors. Results will advance clinical practice to reduce the long-termburden among this vulnerable group.","10171639","DEVINE, KATIE A","Not Applicable","10","PEDIATRICS","090299830","YVVTQD8CJC79","090299830","YVVTQD8CJC79","US","40.520984","-74.473247","10034168","RUTGERS BIOMEDICAL AND HEALTH SCIENCES","Newark","NJ","SCHOOLS OF MEDICINE","071073001","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","630386"," ","NCI","473177","157209"," ","NCI","10878941","6/6/2024 12:00:00 AM","PAR-21-035","5R01CA282147-02","5","R01","CA","282147","02"," ","ADAMS, LYNN S","7/1/2023 12:00:00 AM","6/30/2028 12:00:00 AM","Clinical Management in General Care Settings Study Section[CMGC]"," ","630386",
"No NIH Category available"," ","Patient-Generated Health Data to Predict Childhood Cancer Survivorship Outcomes","PROJECT NARRATIVE We propose to develop survivor-specific risk models to predict adverse outcomes of childhood cancerthrough collecting daily symptoms and other patient-generated health data (physical activity sleep behaviorheart rate variability) using mobile health devices. We will apply machine/statistical learning methods to developand validate risk prediction models and use qualitative methods to receive input from clinicians and survivorsfor developing a user-friendly dashboard and decision support tools. Our risk prediction tool will facilitateinforming individualized levels of specific adverse outcomes and providing key information for clinicians andsurvivors to discuss in view of preventive interventions.","8886807","HUANG, I-CHAN ","YASUI, YUTAKA ","09","Unavailable","067717892","JL4JHE9SDRR3","067717892","JL4JHE9SDRR3","US","35.155607","-90.045279","7893501","ST. JUDE CHILDREN'S RESEARCH HOSPITAL","MEMPHIS","TN","Independent Hospitals","381053678","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","298816"," ","NCI","166471","132345"," ","NCI","10878670","9/11/2024 12:00:00 AM","RFA-CA-20-004","5R01CA258193-03","5","R01","CA","258193","03"," ","JENSEN, ROXANNE ELAINE","7/5/2021 12:00:00 AM","6/30/2027 12:00:00 AM","ZCA1-SRB-X(J1)R"," ","298816",
"No NIH Category available"," ","Pediatric Oncology Research Training Program","PROJECT NARRATIVEThis program will provide pediatric oncology trainees with advanced training in the conceptualization designand execution of rigorous and reproducible research that will help advance the field and lead to improvedoutcomes for children with cancer.","6554624","MESHINCHI, SOHEIL ","LAWLOR, ELIZABETH R","07","Unavailable","806433145","TJFZLPP6NYL6","806433145","TJFZLPP6NYL6","US","47.626482","-122.329606","10068583","FRED HUTCHINSON CANCER CENTER","SEATTLE","WA","Other Domestic Non-Profits","981094433","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","398","Training, Institutional","2024","327376"," ","NCI","361136","25961"," ","NCI","10877901","7/9/2024 12:00:00 AM","PA-20-142","5T32CA009351-47","5","T32","CA","009351","47"," ","BOULANGER-ESPEUT, CORINNE A","8/1/1979 12:00:00 AM","6/30/2027 12:00:00 AM","Institutional Training and Education Study Section (F)[NCI-F]"," ","327376",
"No NIH Category available"," ","Optimizing Lung Cancer Screening in Cancer Survivors","The goal of the proposal is to identify optimal lung cancer (LC) screening strategies for breast (BC) prostate(PC) colorectal (CRC) cancer survivors by developing and validating a novel Multi-Racial and Ethnic LungCancer Model (MELCAM) that will simulate LC development progression detection treatment and survival ina multiethnic cancer survivor population. We will then assess the effectiveness and cost-effectiveness (CE) ofdifferent LC screening strategies for this large group of cancer survivors (>6 million in the US). The study willbe innovative in applying state-of-the-art modeling approaches to evaluate LC screening in a diversepopulation of cancer survivors an understudied group at risk for poorer outcomes and our results will havedirect implications for the management of large numbers of cancer survivors and guide patient decision-making.","6269907","WISNIVESKY, JUAN P","KONG, CHUNG YIN ; LIN, JENNY J.","13","INTERNAL MEDICINE/MEDICINE","078861598","C8H9CNG1VBD9","078861598","C8H9CNG1VBD9","US","40.790284","-73.946781","3839801","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","NEW YORK","NY","SCHOOLS OF MEDICINE","100296574","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","654045"," ","NCI","396633","257412"," ","NCI","10877798","6/13/2024 12:00:00 AM","PA-20-185","5R01CA264995-04","5","R01","CA","264995","04"," ","CROSWELL, JENNIFER","7/15/2021 12:00:00 AM","6/30/2026 12:00:00 AM","Cancer, Heart, and Sleep Epidemiology A Study Section[CHSA]"," ","654045",
"No NIH Category available"," ","Community Outreach and Engagement","n/a","12061338","ROUCE, RAYNE HELEN","Not Applicable","09","Unavailable","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.70926","-95.400851","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","Domestic Higher Education","770303411","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM"," ","Research Centers","2024"," ","73668"," ","46040","27628"," ","NCI","10877151","6/21/2024 12:00:00 AM","PAR-17-095","5P30CA125123-18","5","P30","CA","125123","18"," "," ","7/1/2007 12:00:00 AM","6/30/2025 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","8895"," ",
"No NIH Category available"," ","Pediatric Cancer Program","n/a","7354296","BLANEY, SUSAN M.","Not Applicable","09","Unavailable","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.70926","-95.400851","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","Domestic Higher Education","770303411","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM"," ","Research Centers","2024"," ","32567"," ","20353","12214"," ","NCI","10877145","6/21/2024 12:00:00 AM","PAR-17-095","5P30CA125123-18","5","P30","CA","125123","18"," "," ","7/1/2007 12:00:00 AM","6/30/2025 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","8892"," ",
"No NIH Category available"," ","Sympathetic modulation of head and neck cancer pain","PROJECT NARRATIVEHead and neck cancer patients experience severe pain and stress. The proposed studies investigate howsympathetic and sensory nerves interact to drive cancer pain and promote cancer growth. This approach hasthe potential for new therapeutic strategies to treat cancer progression and pain by targeting neurons.","11641494","SCHEFF, NICOLE N","Not Applicable","12","NEUROSCIENCES","004514360","MKAGLD59JRL1","004514360","MKAGLD59JRL1","US","40.440909","-79.959125","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PITTSBURGH","PA","SCHOOLS OF MEDICINE","152133320","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","121","Non-SBIR/STTR","2024","370073"," ","NIDCR","232750","137323"," ","NIDCR","10877136","6/17/2024 12:00:00 AM","PA-18-141","5R01DE030892-04","5","R01","DE","030892","04"," ","GHIM, MELISSA M","7/6/2021 12:00:00 AM","6/30/2026 12:00:00 AM","Neurobiology of Pain and Itch Study Section [NPI]"," ","370073",
